,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7
Installment_Purchases,0.020429821412991937,-0.09621483371269303,0.17263167505982566,-0.0944887121919618,0.010861762722832367,0.056728539046807795,0.01666838170456374
None_Of_the_Purchases,-0.11301947623074521,0.045695780959700616,-0.043051154912315814,0.012939085697983688,0.031656363433064494,0.09395009524754716,0.1415840707517497
One_Of_Purchase,-0.029251302817191818,-0.00840622768787185,-0.15237812441371004,0.06577060799591104,-0.030950126620784828,-0.0807140610371282,-0.052503321572049365
BALANCE_FREQUENCY,0.06558019740315293,0.2902694147329611,0.34007223748395865,0.40624446441070267,-0.08301621330007161,-0.33432519542233047,0.4539419158413562
ONEOFF_PURCHASES,0.3002296110453703,0.2266848727971542,-0.4526616935073956,0.10271676729895089,-0.003485801092923446,0.042032941886672226,0.08743348309531009
INSTALLMENTS_PURCHASES,0.32531978408660617,0.1382199894627408,0.16380139544090572,-0.12694686125219096,0.16057654759190426,0.5123080764485396,0.12745483892963075
PURCHASES_FREQUENCY,0.3823867900201191,-0.001297025795881422,0.3281627888973696,-0.07358550590986312,-0.07211373548964083,-0.31434443403205786,-0.2235417408421874
ONEOFF_PURCHASES_FREQUENCY,0.2903508403997669,0.16657974874024614,-0.3106811422608905,0.14796880169075763,-0.14480871639122003,-0.4931970615605028,-0.23569322122569597
PURCHASES_INSTALLMENTS_FREQUENCY,0.33040067028558295,-0.022117862861088564,0.5147519829264856,-0.16040249531049292,0.02982648005931598,-0.015422031189590473,-0.1530380025491191
CASH_ADVANCE_FREQUENCY,-0.22235456635650147,0.4576880484363729,0.0434804675465145,-0.2370836101946139,-0.05030287984710516,-0.06663899690410979,-0.009000157814619544
CASH_ADVANCE_TRX,-0.1810566702553739,0.4555852276921702,0.05121914893259187,-0.33009203576205526,-0.07797534198702946,-0.08227226424904438,-0.06693057036503908
PURCHASES_TRX,0.3753004024110655,0.20151248136240826,0.01515709948758557,0.00012959644466835959,0.06910832139801779,0.11202972903586075,-0.14693671071050463
PRC_FULL_PAYMENT,0.18643921812785144,-0.19016635653377337,-0.07660034724245085,-0.4398040751779963,-0.2889604096089135,-0.1764949611530864,0.7075887121427973
Monthly_Avg_Purchase,0.37464551404756957,0.23693797183461712,-0.2701604114277755,0.014535697791440885,0.06812452186600172,0.264288268159669,0.12339697298319142
Monthly_Avg_Cash,-0.16597419352058673,0.3962850526224983,0.003599409344175386,-0.3549780230164768,-0.05677485182599557,-0.0025805885649794907,-0.08643222390246443
Limit_Usage,-0.1418318252858235,0.31155096565292273,0.1942020329247817,0.45864560410484395,0.18577731192610838,0.11202826125380883,0.22507377702553155
Pay_to_MinimumPay,0.011754215534823852,-0.03930508126730599,-0.08505673942413182,-0.2160227467949044,0.8938185421079724,-0.3547271162701488,0.13355012417939446
